Id,Skills,
1,Risk,1
2,API,2
3,Ansible,3
4,Apache Hadoop,4
5,Terraform,5
6,Financial,6
7,cross,7
8,Python,8
9,S3,9
10,OpenCV,10
11,Apache Spark,11
12,NLP,12
13,CI,13
14,FTP,14
15,cloudDefining,15
16,Proof,16
17,Etl,17
18,AWS Redshift,18
19,Big Data,19
20,CLI,20
21,Cloud Formation,21
22,Data Science,22
23,Information Technology,23
24,Databases,24
25,l(e,25
26,Data Warehousing,26
27,Sql,27
28,NoSQL,28
29,Refinitiv,29
30,Linux,30
31,Computer Science,31
32,SQS,32
33,geospatial data,33
34,C++,34
35,analysis,35
36,FinTech,36
37,Beta,37
38,Shell,38
39,Diploma,39
40,Customer Focused Design ,40
41,meetups,41
42,R,42
43,security awareness,43
44,SIEM,44
45,Venture Group,45
46,Global Site,46
47,Cisa,47
48,Email &,48
49,Next,49
50,Pillars &,50
51,CISSP,51
52,DLP,52
53,Planning and Implementation,53
54,Fortinet,54
55,Analytical Skills,55
56,Network Security,56
57,IAM,57
58,Endpoint Protection,58
59,policies,59
60,ISO27001 ISMS,60
61,Vulnerability Assessment,61
62,Ceh,62
63,Nessus,63
64,Administration,64
65,TrendMicro,65
66,Group,66
67,EDR,67
68,Security Governance,68
69,Cyber Security,69
70,POC,70
71,OSCP,71
72,Cissp ,72
73,PAM,73
74,Azure DevOps,74
75,TFSExcellent,75
76,Tdd,76
77,Azure,77
78,MS SQL,78
79,Web Api,79
80,Gitlab,80
81,Angular,81
82,Software Development,82
83,SQL Server,83
84,Git,84
85,least)Strong,85
86,AZURE)Experience DevOps,86
87,Azure Web,87
88,Tfs,88
89,Xtreme,89
90,Agile Methodology,90
91,Api Development,91
92,Entity FrameworkKnowledge,92
93,Pipelines ,93
94,AWS,94
95,Entity Framework,95
96,Java,96
97,Asp,97
98,EMR)- Data,98
99,Data Streaming,99
100,Data Strategy,100
101,Computer Engineering,101
102,Product Management,102
103,Product Development,103
104,Engineering Management,104
105,Databricks,105
106,Tableau,106
107,Redshift,107
108,GIC,108
109,Science,109
110,Cloudera,110
111,Tibco,111
112,Powerbi,112
113,Physics,113
114,thought leadership,114
115,Data Architecture,115
116,Translating,116
117,Data Platforms,117
118,pro-,118
119,Kafka,119
120,Major Cloud,120
121,sg/,121
122,engineering,122
123,Data Product,123
124,DSG,124
125,Snowflake,125
126,Data,126
127,Data Strategy ,127
128,VP,128
129,Solr,129
130,RDS)- Data,130
131,TIBCO)- Business,131
132,Quantitative Analysis,132
133,Machine Learning,133
134,Cloud,134
135,React,135
136,screensMaintain,136
137,enhance,137
138,Software Design,138
139,web,139
140,KPMG,140
141,Singapore,141
142,religion,142
143,Project Managers,143
144,race,144
145,communities,145
146,Customerfocused ,146
147,HTML5,147
148,Github,148
149,Scrum Masters,149
150,IT Business,150
151,CSS,151
152,Javascript,152
